candidates: 188 | rejected: {'rare-token(brand/fragment)': 166, 'already-batched': 55, 'bad-head': 13, 'length': 6, 'no-longer-draft': 4, 'dup': 4}
  0   6.99 44 | Ice Roller for Face Small Gifts Facial Tools
  1   9.98 51 | Magnetic File Holder - Magnetic Paper Holder Pocket
  2   9.99 55 | Over The Tank Toilet Tissue Paper Roll Holder Dispenser
  3   9.99 44 | Mesh Beach Bag Family Tote Pockets Swim Pool
  4  11.99 58 | Hanging Laundry Hamper Bag with 2 Different Types of Hooks
  5  12.98 55 | 27.9 x20 Extra Large Silicone Sheet for Crafts Nonstick
  6  12.99 60 | Black Dog Leash 6 ft XS S Reflective Durable Lightweight Dog
  7  13.98 78 | Fabric Shaver Lint Remover Rechargeable Lint Shaver with 6-Leaf Blades Sweater
  8  13.99 59 | 2026-2027 Monthly Planner - Jan. 2026 - Jun. 2027 18 Months
  9  13.99 54 | Clear TSA Approved 3-1-1 Travel Toiletry Bag for Carry
 10  13.99 64 | Birthday Blanket Mothers Day Blanket Letter for Love Mom Flannel
 11  14.89 76 | 16 Oz Water Bottle Stainless Steel Double Wall Vacuum Insulated Water Bottle
 12  14.99 71 | Electronics Organizer Electronic Accessories Bag Travel Cable Organizer
 13  14.99 78 | Weight Lifting Gym Workout Gloves Men & Women Great for Weightlifting Exercise
 14  14.99 56 | 4-Pack 3 Way Light Bulb 30 70 100W Replacement LED Bulbs
 15  14.99 59 | Microfiber Window Cleaning Cloth Kit - Glass Cleaning Cloth
 16  14.99 79 | Silicone Tray - Small Vanity Tray Organizer - Spoon Rest Holder - Multi-Purpose
 17  15.89 56 | Coffee Canister Storage Container - 22OZ Stainless Steel
 18  15.94 75 | Cup Soap Holder Soap Dish Saver Tray Bar Soap Sponge Holder for Shower Wall
 19  15.99 65 | Cable Organizer Bag Travel Case for Electronics (Large Dark Pink)
 20  15.99 59 | Durable Drawstring Water Resistant Dust Flap Stuff Sack Bag
 21  15.99 77 | Moon Lamp Kids Night Light Galaxy Lamp - 16 Colors Moon Light with Wood Stand
 22  15.99 42 | Glass Soap Dispenser 2 Pack Soap Dispenser
 23  15.99 57 | Mouse Pad Wrist Support Keyboard Wrist Rest Pad Ergonomic
 24  15.99 55 | Dog Crate Pad - Ultra Soft Pet Bed With Cute Star Print
 25  15.99 80 | Heavy Duty Double Handle Dog Leash - 5 FT with Comfortable Padded and Reflective
 26  16.98 75 | Heavy Duty Wall Mount Broom and Mop Holder Sturdy Tool Organizer with Hooks
 27  16.99 45 | 8x8 Aluminum Picture Frame - 8 x 8 Gold Frame
 28  16.99 57 | 3D Coloring Puzzle Set Arts and Crafts for Girls and Boys
 29  16.99 60 | Waterproof Dog Blanket for Couch Pee Proof Fleece Reversible
 30  16.99 67 | Mouse Pad and Keyboard Wrist Rest Support with Non-Slip PU Base Gel
 31  16.99 58 | Mouse Pad with Wrist Rest 3-in-1 Gaming Mouse Pad Keyboard
 32  17.13 77 | Pot Lid Holder Organizer Rack Holder Rest Storage for Pot Lids Plates Cutting
 33  17.99 75 | Fabric Shaver Rechargeable Lint Remover with Brush Sweater Defuzzer 3 Speed
 34  17.99 68 | Wooden Quilt Hangers - 2 Large Clips (Dark Wood) and Screws for Wall
 35  17.99 61 | Kitchen Towel 5 Piece Linen Set 2 Towels 2 Pot Holders 1 Oven
 36  18.59 79 | 25PCS Tire Spoons Motorcycle Tire Changing Kit 14.5 Inch Motorcycle Tire Spoons
 37  18.99 80 | 303 Stainless Steel Face Roller Set with Metal Gua Sha Facial Tool Face Massager
 38  18.99 67 | Baby Proof Corners & 15ft Edges with Furniture Corner & Edge Safety
 39  19.59 74 | Jewelry Organizer with 30 Hooks and Cosmetics Shelf 15 X 3 X 4 Inches Wall
 40  19.80 61 | PET Dog Collar and Leash Velvet Dog Collar and Leash Set Soft
 41  19.95 73 | Silicone Stretch Lids 7 Pack Reusable Food Storage Bowl Covers Dishwasher
 42  19.97 52 | Heavy Duty Extra Large Moving Bags W Backpack Straps
 43  19.98 80 | Wrist Straps for Weightlifting for Maximum Grip Support - Lifting Deadlift Strap
 44  19.98 54 | 13+1BB Light Weight and Ultra Smooth Powerful Spinning
